study,q,u,roc,prc,mcc,precision,recall,tn,fp,fn,tp
WinfreeYYc_mln,2,3,0.9404718693284937,0.2408418319410991,0.25641975671702505,0.9981498612395929,0.9791288566243194,1079,23,2,3
WinfreeYYc_mln,2,4,0.9665154264972777,0.21720782465909902,0.23349354710523174,0.9972552607502287,0.9891107078039928,1090,12,3,2
WinfreeYYc_mln,2,5,0.9647610405323653,0.09026760276760276,-0.007041799541543009,0.994535519125683,0.9909255898366606,1092,10,6,0
WinfreeYYc_mln,2,6,0.9601633393829401,0.07331744082187606,0.14181103003355366,0.9972014925373134,0.97005444646098,1069,33,3,2
WinfreeYYc_mln,3,4,0.9543443738656988,0.3184382660982123,0.22593188971598593,0.9971563981042654,0.9546279491833031,1052,50,3,5
WinfreeYYc_mln,3,5,0.9376458387347679,0.21469518702920545,0.14130056679659675,0.9953874538745388,0.9791288566243194,1079,23,5,2
WinfreeYYc_mln,3,6,0.9403357531760435,0.03476923053961855,-0.01005990061256273,0.9962825278810409,0.9727767695099818,1072,30,4,0
WinfreeYYc_mln,4,5,0.9761796733212342,0.12218963831867058,0.10795054997262533,0.9972401103955841,0.9836660617059891,1084,18,3,1
WinfreeYYc_mln,4,6,0.9541742286751361,0.061354988589031136,-0.006292648581265215,0.9945454545454545,0.9927404718693285,1094,8,6,0
WinfreeYYc_mln,5,6,0.9936479128856623,0.442241968557758,0.38359442105838737,0.999083409715857,0.9891107078039928,1090,12,1,3
Lara_Romero2016_penalara,2,3,0.897747956448357,0.17873277016031203,0.26117900217273854,0.99872355944566,0.99690571532581,5477,17,7,4
Lara_Romero2016_penalara,2,4,0.9877536194281562,0.09491041522022405,0.046710981352908486,0.998900293255132,0.9898292771521976,5450,56,6,1
Lara_Romero2016_penalara,2,5,0.9547038327526132,0.15261708923946404,0.16958392875014147,0.9990780011063987,0.993581514762516,5418,35,5,3
Lara_Romero2016_penalara,2,6,0.8856901442452773,0.39282501221092453,0.3856142249870458,0.9989120580235721,0.9974651457541192,5509,14,6,6
Lara_Romero2016_penalara,2,7,0.9942055989820033,0.1407270583760267,0.24860613200398812,0.9998152254249815,0.9836393383021269,5411,90,1,7
Lara_Romero2016_penalara,2,8,0.9640724558529037,0.054811099763204627,0.23999558058375167,0.9992649761117236,0.9899872565082832,5438,55,4,6
Lara_Romero2016_penalara,2,9,0.8724817518248175,0.025864819389939175,0.07378852716876579,0.999439461883408,0.9760948905109489,5349,131,3,2
Lara_Romero2016_penalara,2,10,0.8266300366300365,0.14625942663186844,0.3055714994137224,0.9992636229749632,0.9941391941391942,5428,32,4,6
Lara_Romero2016_penalara,2,11,0.899873828406633,0.05536087083073663,0.06545662988660185,0.998913830557567,0.994592645998558,5518,30,6,1
Lara_Romero2016_penalara,3,4,0.9206349206349206,0.037054238886128875,0.0781764880583107,0.9987160674981658,0.9883826465783264,5445,64,7,2
Lara_Romero2016_penalara,3,5,0.9785117967332124,0.06927098634906118,0.24350151975203174,0.9996353691886964,0.9950998185117967,5483,27,2,3
Lara_Romero2016_penalara,3,6,0.9490943018387038,0.29027554159197716,0.2279500519245084,0.9981708432412658,0.9934462042599672,5457,36,10,6
Lara_Romero2016_penalara,3,7,0.9727496438285197,0.49035394739497906,0.5505185438306025,0.9990925589836661,0.9981867633726201,5505,10,5,9
Lara_Romero2016_penalara,3,8,0.9591719755654182,0.10424097052005268,0.23240496070824565,0.9990914046883518,0.9904521707800397,5498,53,5,6
Lara_Romero2016_penalara,3,9,0.9879392805156997,0.05688855365391902,0.20224309848936006,0.9996308600959763,0.9854439592430859,5416,80,2,5
Lara_Romero2016_penalara,3,10,0.9661186620004882,0.10137611321116428,0.18155443288466325,0.9990910743501181,0.9840644583706356,5496,89,5,6
Lara_Romero2016_penalara,3,11,0.9268467045806169,0.19558606609781834,0.21562595432762224,0.9979948960991615,0.9931072011608925,5475,38,11,6
Lara_Romero2016_penalara,4,5,0.9026200922742899,0.1327390325701417,0.13846782171058572,0.9976427923844061,0.9954767504975575,5502,25,13,3
Lara_Romero2016_penalara,4,6,0.9431282604785033,0.09937553438863721,0.11202813286855166,0.9987277353689568,0.9884871379744559,5495,64,7,3
Lara_Romero2016_penalara,4,7,0.8953831856351024,0.1295772622952856,0.1398480711557455,0.9985318407047165,0.99324571011318,5441,37,8,3
Lara_Romero2016_penalara,4,8,0.9811303719754424,0.10728730710040475,0.11036976489385224,0.9987355491329479,0.9983748645720477,5529,9,7,1
Lara_Romero2016_penalara,4,9,0.985816121367209,0.2901839516731395,0.261158061293434,0.9990817263544536,0.9943337598245293,5440,31,5,5
Lara_Romero2016_penalara,4,10,0.9750635208711433,0.19590614579801383,0.16976722863470428,0.9990803752069156,0.9858439201451905,5432,78,5,5
Lara_Romero2016_penalara,4,11,0.9943161313605196,0.25876197876197876,0.25403681419509666,0.9998167491295583,0.9844821364128473,5456,86,1,7
Lara_Romero2016_penalara,5,6,0.9852591289955519,0.0806196990175995,0.12542196208701945,0.9990902474526928,0.9940260680666184,5491,33,5,2
Lara_Romero2016_penalara,5,7,0.9018175274428649,0.10799834554839567,0.2082713126617271,0.998915205207015,0.9942414972107252,5525,32,6,4
Lara_Romero2016_penalara,5,8,0.9706507907653155,0.15043608026293917,0.07960786801481108,0.9983624454148472,0.9974550081803308,5487,14,9,1
Lara_Romero2016_penalara,5,9,0.9257169839455242,0.3610640286419697,0.3754849571771082,0.9990867579908675,0.9969017678148351,5470,17,5,6
Lara_Romero2016_penalara,5,10,0.9618548990276738,0.16545974394412882,0.4444132987539295,0.9996382054992764,0.9976530059577541,5526,13,2,5
Lara_Romero2016_penalara,5,11,0.9818165304268847,0.06894195812572894,0.16509044254701327,0.9987233266459967,0.9947320617620345,5476,29,7,3
Lara_Romero2016_penalara,6,7,0.8714014522329268,0.20849558584645178,0.3006128289536422,0.9978323699421965,0.9962128043282237,5524,21,12,7
Lara_Romero2016_penalara,6,8,0.9548400643942045,0.027553776519472422,0.03523773765140335,0.9978017952005862,0.9912647861692447,5447,48,12,1
Lara_Romero2016_penalara,6,9,0.9696652719665273,0.19061581992026147,0.2651268681173671,0.9992640294388224,0.9879934509732582,5431,66,4,8
Lara_Romero2016_penalara,6,10,0.9856921675774135,0.34522671442507613,0.2846753238465789,0.998724722171616,0.9985428051001821,5482,8,7,3
Lara_Romero2016_penalara,6,11,0.9684491382553329,0.11720418426088725,0.32445648044767456,0.9990889212827988,0.9931171889150516,5483,38,5,8
Lara_Romero2016_penalara,7,8,0.9610814022578729,0.12720264560151717,0.09888010616171868,0.9981851179673321,0.9985475671750181,5500,8,10,1
Lara_Romero2016_penalara,7,9,0.966770299926847,0.12785312630292545,0.19000266567056626,0.99943904263276,0.9775054864667154,5345,123,3,7
Lara_Romero2016_penalara,7,10,0.9722485554351752,0.40860306356531545,0.31687259094852066,0.9983707458363504,0.9958468761285663,5515,23,9,7
Lara_Romero2016_penalara,7,11,0.8335117529154519,0.11295873061742892,0.10494554831879409,0.9988996882450027,0.9925291545189504,5447,41,6,2
Lara_Romero2016_penalara,8,9,0.9607917570498915,0.2117956289005448,0.3739263782100153,0.9990909090909091,0.9933116413593637,5495,37,5,10
Lara_Romero2016_penalara,8,10,0.8782852855583849,0.2725453727713397,0.2541706805441388,0.9981751824817519,0.9949072389959985,5470,28,10,6
Lara_Romero2016_penalara,8,11,0.9930959302325582,0.18332207818275734,0.29042397465214226,0.9992690058479532,0.9934593023255814,5468,36,4,6
Lara_Romero2016_penalara,9,10,0.9896341463414634,0.14573856319506695,0.21570684639509358,0.9987237921604376,0.9970877320713506,5478,16,7,3
Lara_Romero2016_penalara,9,11,0.985931716408252,0.20146958662288664,0.21138187082688314,0.999632892804699,0.9867729661170502,5446,73,2,5
Lara_Romero2016_penalara,10,11,0.9264586407573823,0.26115944538707575,0.3353463986451384,0.9989039093898429,0.9972642713842786,5468,15,6,5
CaraDonna2017_aggregated,2,3,0.9616438406408404,0.28836345648513156,0.28238228645995983,0.9984011369692662,0.9482031381812046,5620,307,9,37
CaraDonna2017_aggregated,2,4,0.9290713488898058,0.19236543585408455,0.19657799373656654,0.9955341806939196,0.9742813918305597,5796,153,26,18
CaraDonna2017_aggregated,2,5,0.9490775087856305,0.22658237901738817,0.25992474456206066,0.9955056179775281,0.9744500846023688,5759,151,26,26
CaraDonna2017_aggregated,2,6,0.9195619694104031,0.24068268672335744,0.31941971571165056,0.9986082115518441,0.9666554395419333,5740,198,8,31
CaraDonna2017_aggregated,2,7,0.9140260913034364,0.14531873436446016,0.1524556983578812,0.9959219858156029,0.9510667118184897,5617,289,23,19
CaraDonna2017_aggregated,2,8,0.953864780859215,0.23871975850826746,0.3079482388589676,0.9979159430357764,0.9691347613425535,5746,183,12,30
CaraDonna2017_aggregated,3,4,0.974466363397778,0.26189913924626096,0.29293509496098774,0.9987617194410048,0.9466800804828974,5646,318,7,39
CaraDonna2017_aggregated,3,5,0.9290312236286921,0.13525517990749042,0.2741401628375423,0.9970222455771589,0.960675105485232,5692,233,17,33
CaraDonna2017_aggregated,3,6,0.9568527505985219,0.30290776238558376,0.37521391324342945,0.9965694682675815,0.9827469553450608,5810,102,20,32
CaraDonna2017_aggregated,3,7,0.9543515826227165,0.21536864567288336,0.32487452877244577,0.9987479878375961,0.943402601790843,5584,335,7,50
CaraDonna2017_aggregated,3,8,0.9356304453548085,0.11976407843765287,0.1851804887434988,0.9956866804692892,0.9751605272051369,5771,147,25,16
CaraDonna2017_aggregated,4,5,0.9789469332797902,0.1725767945025709,0.3087511689544226,0.9991103202846975,0.9505671237514813,5615,292,5,38
CaraDonna2017_aggregated,4,6,0.9352573775989269,0.11702912562649861,0.15623262286963457,0.9947189097103918,0.9790409121395037,5839,125,31,13
CaraDonna2017_aggregated,4,7,0.9532092984993795,0.22192780810401455,0.3463553434311963,0.9977562996202969,0.9709439032583137,5781,173,13,36
CaraDonna2017_aggregated,4,8,0.92551384406319,0.26492731891194654,0.32548091702900545,0.9958691910499139,0.9828435535926618,5786,101,24,27
CaraDonna2017_aggregated,5,6,0.9607358065177289,0.29349444753558834,0.3441745158061623,0.9994744218640504,0.9588235294117647,5705,245,3,38
CaraDonna2017_aggregated,5,7,0.8997741866109559,0.07989310241070521,0.12371002252987147,0.9927710843373494,0.9746535991889151,5768,150,42,13
CaraDonna2017_aggregated,5,8,0.9671834574419185,0.16493882773663837,0.27998088126129134,0.9955759741364641,0.9797387809778969,5851,121,26,25
CaraDonna2017_aggregated,6,7,0.953255017131669,0.23958135340494316,0.3270121807133651,0.9991125310614128,0.9537444933920705,5629,273,5,40
CaraDonna2017_aggregated,6,8,0.9489535004613565,0.2093779810518383,0.3067140285372915,0.9948953547728433,0.9878357830714648,5847,72,30,22
CaraDonna2017_aggregated,7,8,0.9422294061302681,0.2008845760220552,0.2810906457466313,0.9975365124054196,0.9582488167680866,5669,247,14,34
benadi2013,2,3,0.9730637989866611,0.38967675073594676,0.34461040658240966,0.9979147117088938,0.9896598076724227,9571,100,20,27
benadi2013,2,4,0.9661026978842988,0.2380947120077226,0.2736561531079583,0.998219335917042,0.9838942804047078,9530,156,17,24
benadi2013,2,5,0.9733271117112108,0.2619645937148106,0.31393610966265234,0.997904662126768,0.9834796076406814,9525,160,20,32
benadi2013,3,4,0.949250190629501,0.19347883978945624,0.2414374935110663,0.9988359788359789,0.9774257015636326,9439,218,11,22
benadi2013,3,5,0.9704547918228711,0.3169005967249182,0.3524045983506523,0.9986297038052071,0.984209432786204,9474,152,13,33
benadi2013,4,5,0.9888056745540856,0.4007842347368169,0.48615716953925203,0.9990585774058578,0.9894333367864913,9551,102,9,42
